"time", "token price", "dai2usdc", "usdc2dai"
1578974557, 1.001988, 0.997561, 1.001621
1578974617, 1.001988, 0.997561, 1.001621
1578974678, 1.001989, 0.997561, 1.001621
1578974738, 1.001989, 0.997561, 1.001621
1578974799, 1.001989, 0.997561, 1.001621
1578974859, 1.001989, 0.997561, 1.001621
1578974920, 1.001989, 0.997561, 1.001621
1578974980, 1.001989, 0.997561, 1.001621
1578975041, 1.001989, 0.997561, 1.001621
1578975101, 1.001989, 0.997561, 1.001621
1578975161, 1.001989, 0.997561, 1.001621
1578975222, 1.001990, 0.997561, 1.001621
1578975282, 1.001990, 0.997561, 1.001621
1578975343, 1.001990, 0.997561, 1.001621
1578975403, 1.001990, 0.997561, 1.001621
1578975464, 1.001990, 0.997561, 1.001621
1578975524, 1.001990, 0.997561, 1.001621
1578975585, 1.001990, 0.997561, 1.001621
1578975645, 1.001990, 0.997561, 1.001621
1578975706, 1.001991, 0.997561, 1.001621
1578975766, 1.001991, 0.997561, 1.001621
1578975827, 1.001991, 0.997561, 1.001621
1578975887, 1.001991, 0.997561, 1.001621
1578975948, 1.001991, 0.997561, 1.001621
1578976008, 1.001991, 0.997561, 1.001621
1578976069, 1.001991, 0.997561, 1.001621
1578976130, 1.001991, 0.997561, 1.001621
1578976190, 1.001991, 0.997561, 1.001621
1578976251, 1.001992, 0.997561, 1.001621
1578976311, 1.001992, 0.997561, 1.001621
1578976372, 1.001992, 0.997561, 1.001621
1578976432, 1.001992, 0.997561, 1.001621
1578976493, 1.001992, 0.997561, 1.001621
1578976553, 1.001992, 0.997561, 1.001621
1578976614, 1.001992, 0.997561, 1.001621
1578976674, 1.001992, 0.997561, 1.001621
1578976735, 1.001992, 0.997561, 1.001621
1578976795, 1.001992, 0.997561, 1.001621
1578976856, 1.001993, 0.997561, 1.001621
1578976916, 1.001993, 0.997561, 1.001621
1578976977, 1.001993, 0.997561, 1.001621
1578977037, 1.001993, 0.997561, 1.001621
1578977098, 1.001993, 0.997561, 1.001621
1578977158, 1.001993, 0.997561, 1.001621
1578977219, 1.001993, 0.997561, 1.001621
1578977279, 1.001993, 0.997561, 1.001621
1578977340, 1.001993, 0.997561, 1.001621
1578977400, 1.001993, 0.997561, 1.001621
1578977461, 1.001993, 0.997561, 1.001621
1578977521, 1.001994, 0.997561, 1.001621
1578977582, 1.001994, 0.997561, 1.001621
1578977643, 1.001994, 0.997561, 1.001621
1578977703, 1.001994, 0.997561, 1.001621
1578977764, 1.001994, 0.997561, 1.001621
1578977824, 1.001994, 0.997561, 1.001621
1578977885, 1.001994, 0.997561, 1.001621
1578977945, 1.001994, 0.997561, 1.001621
1578978006, 1.001994, 0.997561, 1.001621
1578978066, 1.001995, 0.997561, 1.001621
1578978127, 1.001995, 0.997561, 1.001621
1578978187, 1.001995, 0.997561, 1.001621
1578978248, 1.001995, 0.997561, 1.001621
1578978308, 1.001995, 0.997561, 1.001621
1578978369, 1.001995, 0.997561, 1.001621
1578978429, 1.001995, 0.997561, 1.001621
1578978490, 1.001995, 0.997561, 1.001621
1578978550, 1.001995, 0.997561, 1.001621
1578978610, 1.001996, 0.997561, 1.001621
1578978672, 1.001996, 0.997561, 1.001621
1578978732, 1.001996, 0.997561, 1.001621
1578978793, 1.001996, 0.997561, 1.001621
1578978853, 1.001996, 0.997561, 1.001621
